City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,kailua,21.4022,-157.7394,-319.44999999999993,66,20,21.85,US,1676058303
201,tynda,55.1667,124.7167,-504.03999999999996,100,97,1.81,RU,1676058303
202,borovskoy,53.8,64.15,-429.8979999999999,98,100,3.47,KZ,1676058304
203,bandarbeyla,9.4942,50.8122,-322.852,70,53,20.65,SO,1676058305
204,iskateley,67.6803,53.1512,-415.426,94,100,15.84,RU,1676058305
205,creel,27.75,-107.6333,-359.176,15,6,11.79,MX,1676058306
206,saint-augustin,51.226,-58.6502,-439.294,72,100,5.17,CA,1676058307
207,grootfontein,-19.5667,18.1167,-338.044,73,1,3.44,NA,1676058307
208,liuhe,42.2401,125.7172,-431.30199999999996,94,89,6.35,CN,1676058308
209,san jose,37.3394,-121.895,-348.89799999999997,72,75,9.22,US,1676058220
210,general roca,-39.0333,-67.5833,-287.536,11,0,6.08,AR,1676058309
211,imeni poliny osipenko,52.4201,136.4853,-510.08799999999997,100,100,0.36,RU,1676058309
212,charyshskoye,51.3978,83.5598,-450.90399999999994,94,100,3.4,RU,1676058310
213,oktyabrskoye,43.0645,44.7417,-434.218,92,94,8.95,RU,1676058310
214,tarija,-21.5355,-64.7296,-317.992,50,20,11.5,BO,1676058311
215,chapais,49.7834,-74.8492,-434.86600000000004,89,100,8.97,CA,1676058312
216,dungarvan,52.0881,-7.6253,-369.74199999999996,86,100,8.99,IE,1676058313
217,mezen,65.8522,44.24,-419.116,95,100,9.98,RU,1676058313
218,san patricio,28.017,-97.5169,-340.59999999999997,45,11,21.63,US,1676058314
219,kodino,63.7198,39.6447,-417.748,94,100,8.66,RU,1676058314
220,bathsheba,13.2167,-59.5167,-310.252,61,20,25.32,BB,1676058111
221,kuandian,40.7286,124.7847,-415.912,94,7,3.2,CN,1676058315
222,buala,-8.145,159.5921,-316.44399999999996,80,100,3.94,SB,1676058316
223,kabare,-2.4683,28.8242,-348.35799999999995,84,70,0.96,CD,1676058316
224,lara,-38.0167,144.4,-345.33399999999995,96,0,4.61,AU,1676058317
225,tolaga bay,-38.3667,178.3,-346.50399999999996,69,100,6.15,NZ,1676058318
226,tautira,-17.7333,-149.15,-314.626,77,26,12.37,PF,1676058319
227,whitehorse,60.7161,-135.0538,-427.09,77,20,5.75,CA,1676058079
228,shamkhal,43.0596,47.3373,-411.826,77,96,6.11,RU,1676058320
229,byron bay,-28.65,153.6167,-339.178,90,26,9.15,AU,1676058320
230,pietersburg,-23.9045,29.4688,-343.33599999999996,92,62,6.85,ZA,1676058321
231,barrow,71.2906,-156.7887,-473.31399999999996,77,100,11.5,US,1676058322
232,morwell,-38.2333,146.4,-350.94999999999993,83,0,4.23,AU,1676058322
233,moron,-34.6534,-58.6198,-276.034,34,0,3.62,AR,1676058323
234,floriano,-6.7669,-43.0225,-290.6139999999999,36,98,6.38,BR,1676058324
235,araouane,18.9048,-3.5265,-312.35799999999995,9,94,8.39,ML,1676058325
236,broome,42.2506,-75.833,-382.828,74,100,17.27,US,1676058326
237,eslov,55.8393,13.3039,-385.83399999999995,93,100,18.72,SE,1676058327
238,bethel,41.3712,-73.414,-356.94399999999996,45,0,16.11,US,1676058053
239,gunjur,13.2019,-16.7339,-314.46399999999994,50,9,8.05,GM,1676058328
240,belmonte,-15.8631,-38.8828,-312.034,73,1,9.44,BR,1676058328
241,stuttgart,48.7823,9.177,-396.95799999999997,81,0,4.61,DE,1676058330
242,sieradz,51.5958,18.7302,-397.246,90,100,10.71,PL,1676058331
243,malanje,-9.5402,16.341,-341.40999999999997,76,6,2.28,AO,1676058331
244,loveland,40.3978,-105.075,-372.83799999999997,38,4,4.0,US,1676058308
245,vydrino,51.485,104.8461,-451.408,91,88,5.23,RU,1676058332
246,zeya,53.75,127.2667,-472.79200000000003,96,100,3.0,RU,1676058333
247,fairview,40.8126,-73.999,-354.44199999999995,38,0,17.27,US,1676058334
248,firminopolis,-16.5819,-50.305,-314.518,73,80,3.11,BR,1676058334
249,haines junction,60.7522,-137.5108,-460.47999999999996,78,100,2.3,CA,1676058335
250,egvekinot,66.3167,-179.1667,-512.2660000000001,89,25,9.19,RU,1676058336
251,smithers,54.7804,-127.1743,-401.49399999999997,100,100,2.3,CA,1676058327
252,igrim,63.1906,64.4162,-424.354,91,85,9.31,RU,1676058337
253,khorixas,-20.3667,14.9667,-328.6479999999999,54,1,14.58,NA,1676058337
254,praia da vitoria,38.7333,-27.0667,-352.102,82,20,5.79,PT,1676058338
255,la ronge,55.1001,-105.2842,-417.82,58,100,2.3,CA,1676058322
256,husavik,66.0449,-17.3389,-393.93399999999997,82,100,11.77,IS,1676058338
257,royan,45.6285,-1.0281,-386.12199999999996,74,0,8.95,FR,1676058339
258,kavaratti,10.5669,72.642,-316.29999999999995,78,100,8.81,IN,1676058340
259,abha,18.2164,42.5053,-357.03399999999993,82,0,0.0,SA,1676058287
260,longview,32.5007,-94.7405,-372.46,75,100,10.36,US,1676058175
261,marawi,7.9986,124.2928,-339.628,96,84,0.25,PH,1676058341
262,alyangula,-13.8483,136.4192,-312.87999999999994,81,100,12.95,AU,1676058341
263,vila velha,-20.3297,-40.2925,-304.96,72,20,18.41,BR,1676058257
264,todireni,47.6167,27.1167,-421.43799999999993,90,15,2.82,RO,1676058342
265,zemio,5.0314,25.1361,-318.118,26,44,1.99,CF,1676058343
266,kununurra,-15.7667,128.7333,-327.58599999999996,88,75,13.8,AU,1676058343
267,sao luiz gonzaga,-28.4083,-54.9608,-284.044,20,57,4.25,BR,1676058344
268,ostrovnoy,68.0531,39.5131,-412.924,92,100,3.91,RU,1676058344
269,sabla,12.7525,4.7077,-316.37199999999996,8,0,10.31,NG,1676058345
270,mehamn,71.0357,27.8492,-411.87999999999994,74,40,27.63,NO,1676058346
271,crib point,-38.35,145.2,-344.65,71,0,9.42,AU,1676058346
272,ledyard,41.4398,-72.0142,-349.70799999999997,41,0,11.5,US,1676058199
273,matadi,-5.8167,13.45,-317.902,86,65,6.46,CD,1676058347
274,kurilsk,45.2333,147.8833,-433.426,68,99,3.2,RU,1676058347
275,ribeira grande,38.5167,-28.7,-352.08399999999995,72,20,8.01,PT,1676058348
276,ulladulla,-35.35,150.4667,-343.876,81,49,3.78,AU,1676058349
277,bajil,15.0584,43.2851,-316.246,62,0,5.35,YE,1676058349
278,ornskoldsvik,63.2909,18.7153,-410.0799999999999,74,75,10.36,SE,1676058350
279,buta,2.7858,24.73,-319.28799999999995,30,90,1.7,CD,1676058350
280,nanakuli,21.3906,-158.1547,-319.52199999999993,53,0,12.66,US,1676058351
281,puerto del rosario,28.5004,-13.8627,-350.67999999999995,77,40,6.91,ES,1676058351
282,chuy,-33.6971,-53.4616,-307.462,51,0,13.8,UY,1676058352
283,lorengau,-2.0226,147.2712,-317.578,85,100,8.72,PG,1676058352
284,karratha,-20.7377,116.8463,-307.984,71,48,14.97,AU,1676058353
285,acajutla,13.5928,-89.8275,-308.434,61,23,8.5,SV,1676058118
286,abalak,58.1286,68.5944,-456.142,97,84,7.05,RU,1676058353
287,airai,-8.9266,125.4092,-351.68799999999993,95,100,2.71,TL,1676058354
288,nova olimpia,-14.7972,-57.2881,-302.40399999999994,62,67,4.99,BR,1676058354
289,sibu,2.3,111.8167,-323.752,94,40,2.3,MY,1676058355
290,port moresby,-9.4431,147.1797,-325.354,100,40,9.22,PG,1676058355
291,khunzakh,42.5394,46.705,-432.59799999999996,84,100,5.01,RU,1676058355
292,ati,13.2154,18.3353,-318.676,9,1,10.89,TD,1676058356
293,petropavlovsk-kamchatskiy,53.0452,158.6483,-465.808,65,20,8.95,RU,1676058356
294,flagstaff,35.1981,-111.6513,-384.05199999999996,28,0,10.36,US,1676058315
295,krasnoselkup,65.7,82.4667,-436.342,93,100,22.17,RU,1676058357
296,nabire,-3.3667,135.4833,-327.99999999999994,92,100,2.35,ID,1676058357
297,bagdarin,54.4333,113.6,-479.344,98,25,3.67,RU,1676058358
298,marau,-28.4492,-52.2,-314.67999999999995,57,63,8.25,BR,1676058358
299,piacabucu,-10.4056,-36.4344,-311.116,68,100,11.9,BR,1676058327
300,ternate,0.8,127.4,-316.894,83,100,8.55,ID,1676058219
301,akropong,5.9746,-0.0854,-318.40599999999995,70,1,6.49,GH,1676058359
302,sapa,5.1544,120.3241,-316.85799999999995,80,100,5.44,PH,1676058359
303,christchurch,-43.5333,172.6333,-351.76,91,57,6.91,NZ,1676058360
304,muravlenko,63.7898,74.523,-435.72999999999996,93,98,18.25,RU,1676058360
305,golfito,8.639,-83.166,-304.996,63,73,7.29,CR,1676058361
306,tromso,69.6496,18.957,-411.75399999999996,86,75,8.05,NO,1676058361
307,pisco,-13.7,-76.2167,-320.97999999999996,78,0,11.5,PE,1676058086
308,coahuayana,18.7333,-103.6833,-300.29799999999994,38,1,7.63,MX,1676058362
309,hithadhoo,-0.6,73.0833,-313.86999999999995,75,68,12.82,MV,1676058363
310,yuzhou,34.1628,113.4639,-393.08799999999997,97,100,1.97,CN,1676058363
311,vilyuysk,63.7553,121.6247,-536.2959999999999,99,98,3.85,RU,1676058364
312,leningradskiy,69.3833,178.4167,-497.938,97,100,11.01,RU,1676058365
313,bulgan,48.8125,103.5347,-455.27799999999996,98,100,2.73,MN,1676058365
314,mayumba,-3.432,10.6554,-315.84999999999997,83,100,6.2,GA,1676058366
315,bonfim,3.0833,-59.95,-300.69399999999996,44,100,10.22,BR,1676058366
316,xuanhua,40.6103,115.0447,-418.84599999999995,89,63,0.27,CN,1676058367
317,jackson,42.4165,-122.8345,-372.99999999999994,64,100,2.57,US,1676058132
318,paamiut,61.994,-49.6678,-448.888,85,90,10.56,GL,1676058367
319,pevek,69.7008,170.3133,-506.75800000000004,95,100,6.31,RU,1676058368
320,hualmay,-11.0964,-77.6139,-320.224,73,69,9.46,PE,1676058368
321,esperance,-33.8667,121.9,-341.968,79,76,14.54,AU,1676058369
322,port macquarie,-31.4333,152.9167,-348.24999999999994,90,9,4.41,AU,1676058370
323,sant feliu de guixols,41.7833,3.0333,-375.21399999999994,77,0,1.7,ES,1676058370
324,sinnamary,5.3833,-52.95,-317.758,78,100,13.22,GF,1676058371
325,kochevo,59.5994,54.3125,-422.89599999999996,92,99,9.84,RU,1676058372
326,kimbe,-5.5502,150.1429,-322.924,94,100,2.24,PG,1676058372
327,santa isabel,-23.3156,-46.2214,-319.702,80,100,4.25,BR,1676058373
328,ossora,59.2353,163.0719,-444.15399999999994,95,100,15.12,RU,1676058374
329,los llanos de aridane,28.6585,-17.9182,-350.67999999999995,83,40,6.91,ES,1676058374
330,namibe,-15.1961,12.1522,-330.75399999999996,78,85,5.77,AO,1676058375
331,portland,45.5234,-122.6762,-363.604,90,75,4.61,US,1676058111
332,bilibino,68.0546,166.4372,-538.348,100,94,1.48,RU,1676058375
333,bairnsdale,-37.8333,147.6167,-349.78,96,0,1.01,AU,1676058376
334,kampene,-3.6,26.6667,-334.44399999999996,88,100,1.54,CD,1676058377
335,touros,-5.1989,-35.4608,-310.53999999999996,65,94,13.96,BR,1676058102
